mort,category,geography,year,sex,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
REM1,Remoteness area,Major Cities of Australia,2017,Males,"53,238","8,769,960",607.1,594.4,0.95,"20,559",38.6,232.8,"344,777",41.6,"10,745",51.4,122.8,79.6
REM1,Remoteness area,Major Cities of Australia,2018,Males,"52,554","8,920,139",589.2,570.8,0.94,"20,511",39,226.3,"342,998",40.7,"10,497",50.5,117.1,79.6
REM1,Remoteness area,Major Cities of Australia,2019,Males,"56,332","9,070,635",621,594.7,0.94,"22,057",39.2,238.8,"375,975",43.9,"10,873",50.8,118.9,79.6
REM1,Remoteness area,Major Cities of Australia,2020,Males,"54,152","9,185,172",589.6,552.8,0.95,"20,892",38.6,221,"347,053",40.1,"10,380",49.7,111.1,79.6
REM1,Remoteness area,Major Cities of Australia,2021,Males,"57,446","9,171,380",626.4,569.2,0.95,"21,363",37.2,224,"347,736",40.4,"10,304",48.2,109.5,80.1
REM2,Remoteness area,Inner Regional Australia,2017,Males,"18,747","2,144,606",874.2,665.4,1.06,"7,517",40.1,284.4,"115,843",58.4,"4,041",53,161.3,78.7
REM2,Remoteness area,Inner Regional Australia,2018,Males,"18,849","2,176,100",866.2,647.2,1.07,"7,608",40.4,280,"114,148",56.8,"4,076",52.9,158,78.8
REM2,Remoteness area,Inner Regional Australia,2019,Males,"20,329","2,207,240",921,678.6,1.08,"8,237",40.5,299.4,"125,924",62,"4,084",50.9,155.8,78.6
REM2,Remoteness area,Inner Regional Australia,2020,Males,"19,442","2,236,531",869.3,624.2,1.07,"7,807",40.2,274.8,"115,589",56.3,"3,953",50.6,146.3,78.6
REM2,Remoteness area,Inner Regional Australia,2021,Males,"20,585","2,264,507",909,635.5,1.06,"8,023",39,277.1,"119,976",58,"3,969",49.5,144.7,79.1
REM3,Remoteness area,Outer Regional Australia,2017,Males,"8,870","1,029,695",861.4,723.2,1.16,"4,003",45.1,322.3,"65,109",67.7,"2,198",54.6,184.5,76.9
REM3,Remoteness area,Outer Regional Australia,2018,Males,"8,841","1,036,560",852.9,697.5,1.15,"3,947",44.6,310.2,"62,606",64.8,"2,145",54.1,176,76.9
REM3,Remoteness area,Outer Regional Australia,2019,Males,"9,220","1,043,323",883.7,710.4,1.13,"4,150",45,323.1,"65,990",68,"2,241",54.6,182.4,76.9
REM3,Remoteness area,Outer Regional Australia,2020,Males,"8,946","1,050,889",851.2,668.5,1.15,"4,023",45,308.3,"63,916",65.6,"2,155",53.6,173.2,76.9
REM3,Remoteness area,Outer Regional Australia,2021,Males,"9,338","1,055,647",884.6,675,1.13,"4,086",43.8,307.1,"64,449",66.1,"2,095",51.3,165.3,77.2
REM4,Remoteness area,Remote Australia,2017,Males,"1,076","152,949",703.5,767.3,1.23,617,57.3,372,"11,405",78,340,55.1,210.2,72.4
REM4,Remoteness area,Remote Australia,2018,Males,"1,047","153,024",684.5,736,1.22,583,55.6,356,"10,855",74.4,327,56.1,205.7,72.6
REM4,Remoteness area,Remote Australia,2019,Males,"1,057","153,570",688.3,726.1,1.15,582,55,349.6,"11,136",76.2,323,55.6,201,73
REM4,Remoteness area,Remote Australia,2020,Males,"1,076","154,650",696.1,716.2,1.23,582,54.1,342.7,"10,708",72.9,300,51.5,182,73.2
REM4,Remoteness area,Remote Australia,2021,Males,"1,103","155,447",709.8,711.4,1.19,605,54.8,347.1,"10,791",73.2,331,54.7,194.4,73.1
REM5,Remoteness area,Very Remote Australia,2017,Males,623,"107,008",581.8,859.9,1.37,444,71.3,447.7,"9,422",90.3,275,62,281.4,66.9
REM5,Remoteness area,Very Remote Australia,2018,Males,657,"105,715",621.3,887.8,1.47,464,70.6,471.3,"9,541",92.7,285,61.6,289,66.8
REM5,Remoteness area,Very Remote Australia,2019,Males,647,"104,550",619.2,844,1.34,456,70.5,456.7,"9,798",96.4,284,62.2,282.9,65.7
REM5,Remoteness area,Very Remote Australia,2020,Males,620,"103,525",598.9,797,1.37,428,69.1,429.6,"9,969",99.3,250,58.4,249.9,66.1
REM5,Remoteness area,Very Remote Australia,2021,Males,694,"102,600",676.1,925,1.55,456,65.7,452.3,"9,696",97.5,275,60.3,273.5,67
REM8,Remoteness area,Unknown/missing,2017,Males,304,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2018,Males,372,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2019,Males,761,,,,,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Males,351,,,,,,,,,,,,,
